CustomColumn, Frame, TreatmentSensor, PER-X, PER-Y, LeftSector, RightSector, LeftFlagellumTip-X, LeftFlagellumTip-Y, RightFlagellumTip-X, RightFlagellumTip-Y, LeftFlagellumBase-X, LeftFlagellumBase-Y, RightFlagellumBase-X, RightFlagellumBase-Y, RotationAngle, AntennaSensorWidth, AntennaSensorHeight, AntennaSensorOffset-X, AntennaSensorOffset-Y, AntennaSensorScale-X, AntennaSensorScale-Y
Control-01,137,60,308,174,1,2,244,153,357,171,285,205,344,205,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,138,63,308,174,2,2,249,182,373,202,282,210,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,139,66,308,174,2,3,241,184,381,215,277,215,360,221,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,140,62,308,174,2,3,239,208,391,226,272,226,365,231,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,141,61,308,174,3,3,233,231,396,228,267,236,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,142,64,308,174,3,3,239,254,404,228,267,244,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,143,62,308,174,3,3,236,259,406,233,267,249,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,144,62,308,174,3,3,236,267,404,236,267,249,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,145,63,308,174,3,3,233,249,401,241,267,236,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,146,65,308,174,2,3,236,205,393,249,275,218,365,244,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,147,65,308,174,2,4,259,184,386,254,282,210,362,249,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,148,62,308,174,1,4,272,184,386,254,285,205,362,249,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,149,64,308,174,1,4,267,169,386,254,285,202,362,249,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,150,65,308,174,1,4,267,171,386,254,285,202,362,249,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,151,64,308,174,2,4,262,202,388,257,282,210,362,249,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,152,63,308,174,2,4,262,213,391,259,272,226,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,153,64,308,174,3,4,254,228,396,259,270,231,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,154,64,308,174,2,3,257,179,393,200,282,210,357,218,-7,258,258,187,107,2.57712741596489,2.57712741596489
